Date,Month,FileOrigin,Description,Amount,Currency,Category
14/09/2024,2024-09,Monzo Joint September,LIME*PAYOFF X23Q LONDON,6.38,GBP,Transportation
14/09/2024,2024-09,Monzo Joint September,LIME*PASS X23Q LONDON,36.99,GBP,Transportation
14/09/2024,2024-09,Monzo Joint September,Trainline.Com London,5.25,GBP,Transportation
14/09/2024,2024-09,Monzo Joint September,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL,2.70,GBP,Transportation
14/09/2024,2024-09,Monzo Joint September,RYMAN 1014 LONDON,0.99,GBP,Shopping
14/09/2024,2024-09,Monzo Joint September,WWW.VOXI.CO.UK NEWBURY,10.00,GBP,Utilities
14/09/2024,2024-09,Monzo Joint September,LIME*PASS FZY2 LONDON,36.99,GBP,Transportation
14/09/2024,2024-09,Monzo Joint September,SHELL Grosvenor Road London,1.49,GBP,Shopping
14/09/2024,2024-09,Monzo Joint September,BUCCLEUCH GARDENS CAFE RICHMOND,2.00,GBP,Activities
14/09/2024,2024-09,Monzo Joint September,WAITROSE LONDON,13.13,GBP,Groceries
14/09/2024,2024-09,Monzo Joint September,Monthly Money Pot,140.00,GBP,Nothing
15/09/2024,2024-09,Monzo Joint September,TfL Travel Charge TFL.gov.uk/CP,10.00,GBP,Transportation
15/09/2024,2024-09,Monzo Joint September,TfL Travel Charge TFL.gov.uk/CP,7.90,GBP,Transportation
15/09/2024,2024-09,Monzo Joint September,SAINSBURYS LONDON,0.00,GBP,Groceries
15/09/2024,2024-09,Monzo Joint September,Monthly Money Pot,100.00,GBP,Nothing
15/09/2024,2024-09,Monzo Joint September,SQUARESPACE INC. NEW YORK USA,0.00,GBP,Subscriptions
15/09/2024,2024-09,Monzo Joint September,SQSP* INV149696583 NEW YORK USA,13.44,GBP,Subscriptions
15/09/2024,2024-09,Monzo Joint September,SAINSBURYS LONDON,126.75,GBP,Groceries
16/09/2024,2024-09,Monzo Joint September,VIRGIN MEDIA PYMTS E15 READING,65.16,GBP,Utilities
16/09/2024,2024-09,Monzo Joint September,GAILS - SOUTHBANK PLAC LONDON,3.90,GBP,Activities
16/09/2024,2024-09,Monzo Joint September,J and R Kiosk London,2.30,GBP,Groceries
16/09/2024,2024-09,Monzo Joint September,Adobe ADOBE.LY/BILL IRL,19.97,GBP,Subscriptions
16/09/2024,2024-09,Monzo Joint September,EE TOPUP VESTA EE.CO.UK,9.00,GBP,Subscriptions
17/09/2024,2024-09,Monzo Joint September,SQ *JOLENE HORNSEY ROA London,15.20,GBP,Activities
17/09/2024,2024-09,Monzo Joint September,J and R Kiosk London,1.30,GBP,Groceries
17/09/2024,2024-09,Monzo Joint September,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL,10.70,GBP,Transportation
18/09/2024,2024-09,Monzo Joint September,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL,3.70,GBP,Transportation
18/09/2024,2024-09,Monzo Joint September,PRET A MANGER LONDON,13.50,GBP,Activities
19/09/2024,2024-09,Monzo Joint September,TfL Travel Charge TFL.gov.uk/CP,3.00,GBP,Transportation
19/09/2024,2024-09,Monzo Joint September,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL,3.00,GBP,Transportation
19/09/2024,2024-09,Monzo Joint September,MARKS&SPENCER PLC SF CHANCERY LANE,4.50,GBP,Groceries
19/09/2024,2024-09,Monzo Joint September,MARKS&SPENCER PLC SF CHANCERY LANE,2.20,GBP,Groceries
20/09/2024,2024-09,Monzo Joint September,LIME*RIDE X23Q +448008085223,1.16,GBP,Transportation
20/09/2024,2024-09,Monzo Joint September,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL,6.70,GBP,Transportation
20/09/2024,2024-09,Monzo Joint September,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL,3.00,GBP,Transportation
23/09/2024,2024-09,Monzo Joint September,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL,3.00,GBP,Transportation
23/09/2024,2024-09,Monzo Joint September,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL,3.00,GBP,Transportation
24/09/2024,2024-09,Monzo Joint September,CONNOLLY RETAIL LT,240.00,GBP,Income
