Date,Month,FileOrigin,Description,Amount,Category
2024-07-13,2024-07,Amex Joint JulyOctober,ZETTLE *TURNING EARTH C LONDON,18.00,Shopping
2024-07-14,2024-07,Amex Joint JulyOctober,LIME*PASS               LONDON,36.99,Transportation
2024-07-14,2024-07,Amex Joint JulyOctober,LIME*RIDE               LONDON,0.57,Transportation
2024-07-14,2024-07,Amex Joint JulyOctober,AIRBNB * HM9CMRJQYE     LONDON,325.35,Travel
2024-07-14,2024-07,Amex Joint JulyOctober,GAIL'S CROUCH END       LONDON,15.05,eating_out
2024-07-15,2024-07,Monzo Joint July,Savings,500.00,Savings
2024-07-15,2024-07,Monzo Lara Flex July,Wetransfer,-11.00,Shopping
2024-07-15,2024-07,Amex Joint JulyOctober,SAINSBURY'S SPRMRKTS LT LONDON,4.20,groceries
2024-07-16,2024-07,Monzo Joint July,CONNOLLY,11.00,Shopping
2024-07-16,2024-07,Monzo Joint July,APPLE.COM/BILL         APPLE.COM/BIL IRL,-8.99,Shopping
2024-07-16,2024-07,Amex Joint JulyOctober,SIDNEY ROSE             LONDON,2.40,Shopping
2024-07-16,2024-07,Monzo Joint July,"Adobe.com              Saggart, Dubl IRL",-19.97,Subscriptions
2024-07-16,2024-07,Amex Joint JulyOctober,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.70,Transportation
2024-07-16,2024-07,Amex Joint JulyOctober,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.40,Transportation
2024-07-16,2024-07,Amex Joint JulyOctober,J and R Kiosk           London,2.30,eating_out
2024-07-16,2024-07,Amex Joint JulyOctober,SAINSBURY'S SPRMRKTS LT LONDON,4.20,groceries
2024-07-17,2024-07,Amex Joint JulyOctober,APPLE.COM/BILL          HOLLYHILL,19.99,Shopping
2024-07-17,2024-07,Monzo Joint July,EE TOPUP  VESTA        EE.CO.UK      GBR,-13.50,Utilities & Bills
2024-07-17,2024-07,Amex Joint JulyOctober,M&S CROUCH END SIMPLY F LONDON,21.20,groceries
2024-07-17,2024-07,Amex Joint JulyOctober,SAINSBURY'S SPRMRKTS LT LONDON,4.20,groceries
2024-07-18,2024-07,Monzo Lara Flex July,PPOINT_*CU CONVENIENCE London        GBR,-4.08,Shopping
2024-07-18,2024-07,Monzo Nicholas Flex JulyOctober,PPOINT_*H V Kingsley 3 London        GBR,-2.20,Shopping
2024-07-18,2024-07,Amex Joint JulyOctober,SAINSBURY'S SPRMRKTS LT LONDON,5.20,groceries
2024-07-19,2024-07,Monzo Lara Flex July,SIDNEY ROSE            LONDON  W1S   GBR,-1.20,Shopping
2024-07-19,2024-07,Monzo Joint July,BATH POTTERS SUPPLIES  RADSTOCK      GBR,-41.26,Shopping
2024-07-19,2024-07,Amex Joint JulyOctober,AMZNMKTPLACE*6T4IX7B85  AMAZON.CO.UK,59.95,Shopping
2024-07-19,2024-07,Amex Joint JulyOctober,ZETTLE *TERENCE FOX     LONDON,2.00,Shopping
2024-07-19,2024-07,Amex Joint JulyOctober,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.40,Transportation
2024-07-20,2024-07,Monzo Joint July,PPOINT_*CU CONVENIENCE London        GBR,-5.48,Shopping
2024-07-20,2024-07,Monzo Joint July,Zettle_*TURNING EARTH  LONDON        GBR,-54.00,Shopping
2024-07-20,2024-07,Amex Joint JulyOctober,Crouch End Greens LTD   London,1.29,eating_out
2024-07-20,2024-07,Amex Joint JulyOctober,M&S CROUCH END SIMPLY F LONDON,50.45,groceries
2024-07-21,2024-07,Amex Joint JulyOctober,GAIL'S HAMPSTEAD        LONDON,6.85,eating_out
2024-07-22,2024-07,Amex Joint JulyOctober,TURNING EARTH LEYTON    LONDON,245.00,Entertainment
2024-07-22,2024-07,Amex Joint JulyOctober,TURNING EARTH LEYTON    LONDON,245.00,Entertainment
2024-07-22,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,-9.99,Shopping
2024-07-22,2024-07,Monzo Joint July,Vanguard,-0.28,Uncategorized
2024-07-23,2024-07,Amex Joint JulyOctober,APPLE.COM/BILL          HOLLYHILL,2.99,Shopping
2024-07-23,2024-07,Amex Joint JulyOctober,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.10,Transportation
2024-07-23,2024-07,Monzo Nicholas Flex JulyOctober,Airbnb,155.79,Travel
2024-07-23,2024-07,Monzo Nicholas Flex JulyOctober,Flex,-155.79,Utilities & Bills
2024-07-23,2024-07,Monzo Joint July,Park Local Express     London        GBR,-3.18,eating_out
2024-07-23,2024-07,Monzo Joint July,Park Local Express     London        GBR,-2.99,eating_out
2024-07-23,2024-07,Amex Joint JulyOctober,THE SERVICE LONDON LTD  Mayfair,3.80,eating_out
2024-07-24,2024-07,Monzo Lara Flex July,PPOINT_*CU CONVENIENCE London        GBR,-6.66,Shopping
2024-07-24,2024-07,Amex Joint JulyOctober,AIRBNB * HM9CMRJQYE     LONDON,-59.78,Travel
2024-07-24,2024-07,Monzo Nicholas Flex JulyOctober,Airbnb,157.67,Travel
2024-07-24,2024-07,Monzo Nicholas Flex JulyOctober,Flex,-157.67,Utilities & Bills
2024-07-24,2024-07,Amex Joint JulyOctober,SAINSBURY'S SPRMRKTS LT LONDON,5.20,groceries
2024-07-24,2024-07,Amex Joint JulyOctober,SAINSBURYS ONLINE       LONDON,-98.97,groceries
2024-07-24,2024-07,Amex Joint JulyOctober,SAINSBURYS ONLINE       LONDON,98.97,groceries
2024-07-25,2024-07,Monzo Joint July,PAYROLL,1766.91,Income
2024-07-25,2024-07,Monzo Lara Flex July,PPOINT_*CU CONVENIENCE London        GBR,-16.47,Shopping
2024-07-25,2024-07,Amex Joint JulyOctober,PAYMENT RECEIVED - THANK YOU,-218.00,Shopping
2024-07-25,2024-07,Monzo Joint July,LONDON OVERGROUND SST  CROUCH HILL   GBR,-13.40,Transportation
2024-07-25,2024-07,Amex Joint JulyOctober,LIME*PASS               LONDON,36.99,Transportation
2024-07-25,2024-07,Amex Joint JulyOctober,LIME*RIDE               LONDON,2.90,Transportation
2024-07-25,2024-07,Amex Joint JulyOctober,LIME*RIDE               LONDON,3.61,Transportation
2024-07-25,2024-07,Amex Joint JulyOctober,LIME*RIDE               LONDON,4.06,Transportation
2024-07-25,2024-07,Amex Joint JulyOctober,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.90,Transportation
2024-07-25,2024-07,Amex Joint JulyOctober,SAINSBURY'S SPRMRKTS LT LONDON,3.20,groceries
2024-07-26,2024-07,Amex Joint JulyOctober,AMZNMKTPLACE*LE6FU6355  AMAZON.CO.UK,55.84,Shopping
2024-07-26,2024-07,Amex Joint JulyOctober,LIME*PASS               LONDON,36.99,Transportation
2024-07-26,2024-07,Monzo Lara Flex July,The Woodman            London        GBR,-10.85,eating_out
2024-07-26,2024-07,Monzo Lara Flex July,The Woodman            London        GBR,-51.91,eating_out
2024-07-27,2024-07,Monzo Joint July,Savings,-1800.00,Moving Money
2024-07-27,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,-5.79,Shopping
2024-07-27,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,-8.64,Shopping
2024-07-27,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,-28.80,Shopping
2024-07-27,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,-7.89,Shopping
2024-07-27,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,-8.85,Shopping
2024-07-27,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,-6.84,Shopping
2024-07-27,2024-07,Monzo Joint July,PPOINT_*CU CONVENIENCE London        GBR,-1.50,Shopping
2024-07-27,2024-07,Amex Joint JulyOctober,ZETTLE *TURNING EARTH C LONDON,15.00,Shopping
2024-07-27,2024-07,Monzo Joint July,Microsoft*EA Play 1 Mo msbill.info   GBR,-5.99,Subscriptions
2024-07-27,2024-07,Amex Joint JulyOctober,GAIL'S CROUCH END       LONDON,12.50,eating_out
2024-07-27,2024-07,Amex Joint JulyOctober,SAINSBURYS ONLINE       LONDON,95.96,groceries
